season,match_date,home_team,away_team,home_goals,away_goals,result,home_elo,away_elo,home_xg_form5,away_xg_form5,home_xg,away_xg
2018/19,2018-12-22,Man City,Crystal Palace,2,3,A,1502.997,1356.146,2.17,1.191,1.271,1.146
2018/19,2018-12-22,Huddersfield,Southampton,1,3,A,1325.277,1349.419,0.745,1.167,1.004,2.602
2018/19,2018-12-22,Chelsea,Leicester,0,1,A,1468.422,1386.611,1.276,1.002,2.405,0.456
2018/19,2018-12-22,Cardiff,Man United,1,5,A,1344.32,1420.386,1.19,1.479,1.272,2.725
2018/19,2018-12-22,Arsenal,Burnley,3,1,H,1454.096,1338.071,2.007,1.024,1.466,1.032
2018/19,2018-12-23,Everton,Tottenham,2,6,A,1406.304,1478.041,1.834,1.768,1.001,2.555
2018/19,2018-12-26,Fulham,Wolves,1,1,D,1323.807,1396.77,0.855,1.207,1.277,1.359
2018/19,2018-12-26,Crystal Palace,Cardiff,0,0,D,1371.687,1334.495,1.21,1.269,2.432,1.059
2018/19,2018-12-26,Burnley,Everton,1,5,A,1332.966,1396.354,0.931,1.538,1.886,1.887
2018/19,2018-12-26,Brighton,Arsenal,1,1,D,1374.017,1459.201,0.994,1.958,1.385,0.789
2018/19,2018-12-26,Leicester,Man City,2,1,H,1400.722,1487.457,0.869,1.833,1.557,1.348
2018/19,2018-12-26,Watford,Chelsea,1,2,A,1407.008,1454.311,1.696,1.564,1.244,2.196
2018/19,2018-12-26,Tottenham,Bournemouth,5,0,H,1487.991,1392.221,1.61,0.698,2.235,1.217
2018/19,2018-12-26,Man United,Huddersfield,3,1,H,1430.211,1313.965,1.756,0.821,1.798,1.406
2018/19,2018-12-26,Liverpool,Newcastle,4,0,H,1524.779,1359.223,2.478,0.866,3.25,0.456
2018/19,2018-12-27,Southampton,West Ham,1,2,A,1360.731,1392.086,1.353,1.711,1.287,1.27
2018/19,2018-12-29,Brighton,Everton,1,0,H,1374.453,1406.544,0.935,1.669,1.603,0.656
2018/19,2018-12-29,Fulham,Huddersfield,1,0,H,1323.892,1308.865,1.053,0.99,1.724,0.277
2018/19,2018-12-29,Watford,Newcastle,1,1,D,1396.355,1355.125,1.705,0.732,1.056,0.662
2018/19,2018-12-29,Leicester,Cardiff,0,1,A,1411.203,1337.486,0.896,1.262,1.516,0.493
2018/19,2018-12-29,Liverpool,Arsenal,5,1,H,1528.877,1458.764,2.513,1.573,3.705,1.082
2018/19,2018-12-29,Tottenham,Wolves,1,3,A,1493.552,1396.684,1.838,1.281,0.278,1.209
2018/19,2018-12-30,Man United,Bournemouth,4,1,H,1435.311,1386.66,1.934,0.798,3.419,0.706
2018/19,2018-12-30,Burnley,West Ham,2,0,H,1322.775,1403.194,1.248,1.44,2.899,0.656
2018/19,2018-12-30,Crystal Palace,Chelsea,0,1,A,1368.696,1464.963,1.289,1.569,0.199,0.741
2018/19,2018-12-30,Southampton,Man City,1,3,A,1349.624,1476.976,1.485,1.535,0.221,2.968
2018/19,2019-01-01,Everton,Leicester,0,1,A,1397.631,1397.287,1.379,0.956,0.871,0.644
2018/19,2019-01-01,Cardiff,Tottenham,0,3,A,1351.402,1479.087,0.974,1.546,1.079,1.383
2018/19,2019-01-01,Arsenal,Fulham,4,1,H,1452.591,1331.493,1.443,1.103,4.433,1.713
2018/19,2019-01-02,Bournemouth,Watford,3,3,D,1379.948,1393.259,0.724,1.582,2.848,0.977
2018/19,2019-01-02,Wolves,Crystal Palace,0,2,A,1411.149,1359.45,1.386,1.022,0.656,1.947
2018/19,2019-01-02,West Ham,Brighton,2,2,D,1392.894,1383.367,1.256,1.005,0.639,0.687
2018/19,2019-01-02,Huddersfield,Burnley,1,2,A,1301.264,1333.075,0.733,1.616,0.622,2.663
2018/19,2019-01-02,Newcastle,Man United,0,2,A,1358.221,1442.023,0.56,2.351,0.692,2.675
2018/19,2019-01-02,Chelsea,Southampton,0,0,D,1474.209,1341.26,1.496,1.165,0.851,0.158
2018/19,2019-01-03,Man City,Liverpool,2,1,H,1485.34,1535.05,1.625,2.706,1.004,1.38
2018/19,2019-01-12,Leicester,Southampton,1,2,A,1409.285,1346.516,1.014,1.096,1.76,1.417
2018/19,2019-01-12,Chelsea,Newcastle,2,1,H,1468.952,1348.618,1.561,0.606,1.324,0.395
2018/19,2019-01-12,Cardiff,Huddersfield,0,0,D,1343.047,1290.17,0.878,0.796,0.125,0.395
2018/19,2019-01-12,Burnley,Fulham,2,1,H,1344.17,1326.498,1.786,1.199,0.81,0.903
2018/19,2019-01-12,Brighton,Liverpool,0,1,A,1385.616,1525.633,0.952,2.621,0.384,2.267
2018/19,2019-01-12,West Ham,Arsenal,1,0,H,1390.644,1457.586,1.077,1.926,0.669,0.686
2018/19,2019-01-12,Crystal Palace,Watford,1,2,A,1372.816,1394.876,1.224,1.451,1.162,1.563
2018/19,2019-01-13,Everton,Bournemouth,2,0,H,1385.634,1378.331,1.208,1.238,1.781,1.528
2018/19,2019-01-13,Tottenham,Man United,0,1,A,1487.442,1451.626,1.639,2.255,1.804,0.958
2018/19,2019-01-14,Man City,Wolves,3,0,H,1494.756,1397.783,1.678,1.202,3.119,0.099
2018/19,2019-01-19,Man United,Brighton,2,1,H,1464.581,1377.605,2.315,0.977,2.64,0.635
2018/19,2019-01-19,Newcastle,Cardiff,3,0,H,1343.607,1339.651,0.499,0.806,2.518,0.256
2018/19,2019-01-19,Southampton,Everton,2,1,H,1360.162,1393.445,1.137,1.239,1.06,1.312
2018/19,2019-01-19,Arsenal,Chelsea,2,0,H,1447.674,1473.963,1.691,1.503,2.094,0.755
2018/19,2019-01-19,Wolves,Leicester,4,3,H,1392.25,1395.639,0.817,1.187,2.217,1.338
2018/19,2019-01-19,Watford,Burnley,0,0,D,1406.247,1351.699,1.434,1.858,1.07,1.973
2018/19,2019-01-19,Bournemouth,West Ham,2,0,H,1370.52,1400.556,1.438,1.06,1.248,0.972
2018/19,2019-01-19,Liverpool,Crystal Palace,4,3,H,1533.645,1361.445,2.553,1.377,2.83,0.695
2018/19,2019-01-20,Huddersfield,Man City,0,3,A,1293.566,1500.289,0.741,1.942,0.764,2.014
2018/19,2019-01-20,Fulham,Tottenham,1,2,A,1318.969,1474.487,1.172,1.651,0.938,1.933
2018/19,2019-01-29,Arsenal,Cardiff,2,1,H,1456.422,1331.748,1.817,0.602,2.693,0.598
2018/19,2019-01-29,Fulham,Brighton,4,2,H,1311.382,1371.839,1.311,0.939,3.461,2.369
2018/19,2019-01-29,Huddersfield,Everton,0,1,A,1287.31,1384.498,0.693,1.301,0.731,1.06
2018/19,2019-01-29,Man United,Burnley,2,2,D,1470.347,1355.138,2.298,2.046,3.234,0.935
